CATEGORY_TITLE,TOTAL_VIEWS,TOTAL_LIKES,TOTAL_DISLIKES,TOTAL_COMMENTS
Music,739900339874,52268363406,929227566,6320480751
Entertainment,519486675387,28497215536,664670847,1678100432
Gaming,195817817788,11542284329,198036479,793960547
People & Blogs,187418325929,11133135822,262353145,607093594
Sports,133651789176,3618342269,94999368,280758545
Comedy,108493038540,7406938061,139239196,328883606
Science & Technology,61917522815,2810121892,71176606,168100428
Film & Animation,52847803701,2259479759,50014528,151725049
Howto & Style,34743662369,1648085570,46339391,92650234
News & Politics,34670377110,655757118,58497777,130126064
Education,28278127210,1360172176,23009218,77128641
Autos & Vehicles,15972078815,806126537,16700380,56024112
Pets & Animals,5699093234,186433542,2836374,13722321
Travel & Events,5670394522,307356571,5169394,17654896
Nonprofits & Activism,2770972607,191672612,4391534,20374369
